caseID,AQP1,SEPT8,RBM17,TRIM47,VPS25
TCGA-G9-6329-01,4353.17,1200.16,744.42,432.486,961.08
TCGA-G9-6332-01,567.054,1335.38,437.173,268.218,1221.25
TCGA-G9-6333-01,2028.52,925.704,966.960999999999,424.015,905.441
TCGA-G9-6336-01,1688.63,1032.5,1180.7,502.34,1365.37
TCGA-G9-6338-01,4682.3,1233.48,627.766,606.61,922.708
TCGA-G9-6339-01,1619.71,1222.81,735.876,408.874,819.927
TCGA-G9-6342-01,3258.51,1177.84,943.869,392.371,1088.83
TCGA-G9-6343-01,2588.66,985.016,652.42,288.381,1364.28
TCGA-G9-6347-01,3968.81559635744,984.075179533468,798.978125987028,708.350229105255,777.408703424909
TCGA-G9-6348-01,4947.48,1220.3,831.502,703.17,778.418
TCGA-G9-6351-01,1420.21,930.4,828.929,256.762,1213.85
TCGA-G9-6353-01,4031.01,966.346,859.76,367.973,1197.12
TCGA-G9-6354-01,702.446,1135.38,544.244,230.375,1396.47
TCGA-G9-6356-01,3925.47,1105.06,1069.99,512.752,989.341
TCGA-G9-6361-01,6570.39,1168.86,1081.53,409.668,780.212
TCGA-G9-6362-01,2464.76,1230.42,536.373,347.343,508.258
TCGA-G9-6363-01,2994.86,821.172,971.11,244.604,1422.4
TCGA-G9-6364-01,3163.49,827.647,888.768,304.829,915.817000000001
TCGA-G9-6365-01,3631.49,1253.45,1005.75,627.069,1062.14
TCGA-G9-6366-01,2084.64,647.134,977.778,228.306,1560.36
TCGA-G9-6367-01,3127.16,946.729,948.895,388.273,1211.3
TCGA-G9-6369-01,2011.43,780.766,693.168,201.381,1167.82
TCGA-G9-6370-01,3176.23,1129.07,1257.42,385.785,1050.21
TCGA-G9-6371-01,1837.54,1050.38,884.179,241.362,1161.49
TCGA-G9-6373-01,4134.03,1236.06,910.891,402.075,1106.79
TCGA-G9-6377-01,2239.13,1083.58,760.607,772.114,949.775
TCGA-G9-6378-01,1295.79,1081.21,867.19,293.42,1060.46
TCGA-G9-6379-01,4907.41713689679,1069.18894435466,1190.8998623105,556.903446147498,1037.91324466389
TCGA-G9-6384-01,2254.82,1162.97,848.307,316.076,783.563
TCGA-G9-6385-01,2544.18,949.045,989.009,305.379,1182.24
TCGA-G9-6494-01,1914.98,777.595,1020.93,224.867,809.192
TCGA-G9-6496-01,3847.35,817.529,655.826,382.902,531.609
TCGA-G9-6498-01,7668.42,1225.05,655.539,1268.96,943.654
TCGA-G9-6499-01,1684.67,1026.91,688.156,376.377,1353.8
TCGA-G9-7509-01,1741.48,1082.6,795.771,215.236,1014.99
TCGA-G9-7510-01,3627.99,1033.03,908.465,434.262,1484.13
TCGA-G9-7519-01,2351.58,1000.5,895.873,346.113,1591.45
TCGA-G9-7521-01,1667.53,1286.5,2119.97,611.887,1158.59
TCGA-G9-7522-01,4282.21,1127.59,1037.65,322.921,1183.95
TCGA-G9-7523-01,7496.63,1238.62,1059.06,491.222,936.582
TCGA-G9-7525-01,2793.36,844.620000000001,815.086,247.278,1151.72
