caseID,AQP1,SEPT8,RBM17,TRIM47,VPS25
TCGA-EJ-A8FU-01,3790.4662,1143.6227,1079.9786,309.7535,920.1501
TCGA-G9-6348-01,4947.4768,1220.301,831.5018,703.17,778.4182
TCGA-G9-6494-01,1914.9815,777.5954,1020.9274,224.8666,809.1916
TCGA-HC-A631-01,1018.3405,1216.0229,954.2108,119.2179,934.1917
TCGA-HC-A8CY-01,1036.7739,1211.5902,647.8702,142.5869,552.0263
TCGA-J4-A83M-01,1367.2509,1054.9404,701.2043,237.0558,1075.609
TCGA-KK-A7AP-01,981.2526,1160.6667,941.655,320.3472,674.2282
TCGA-KK-A7B3-01,2382.5853,1408.5155,1349.6241,385.117,1153.8166
TCGA-M7-A71Y-01,2654.2645,1273.0395,1191.3623,378.9353,1351.4596
TCGA-SU-A7E7-01,2623.4513,1229.2035,1046.3097,334.5133,980.9735
TCGA-YL-A8SC-01,1688.39,1124.5577,1248.259,353.857,998.5846
TCGA-YL-A8SJ-01,4851.4621,1294.6346,1373.9906,392.8237,922.0133
TCGA-YL-A9WH-01,1195.9113,1763.9455,3768.0024,337.6753,1163.7665
TCGA-EJ-5511-01,2389.113,925.2392,932.5334,227.9438,506.4368
TCGA-CH-5762-01,2088.1051,810.5563,966.9797,251.0986,850.4267
TCGA-CH-5763-01,4237.3972,1117.5861,1387.7416,343.66,844.4086
TCGA-CH-5771-01,6042.2395,944.1871,1223.101,437.4711,1154.4697
TCGA-EJ-A7NM-01,1667.0349,1417.4852,1165.8816,766.7023,1272.0023
TCGA-G9-6371-01,1837.5436,1050.3798,884.1788,241.3624,1161.4938
TCGA-HC-7749-01,2193.0856,943.5321,1129.2711,156.7272,1144.6269
TCGA-HC-A76W-01,4269.9094,1436.3376,1120.2337,556.5093,1103.4812
TCGA-HI-7168-01,7583.6582,1058.4057,1014.4199,387.9242,589.1871
TCGA-KC-A7FD-01,793.9901,1220.9567,778.2308,309.795,878.5118
TCGA-M7-A725-01,1078.1414,1018.0802,1657.2792,183.6344,1279.1084
TCGA-V1-A8WV-01,2375.6592,1821.7715,1147.7323,451.6565,894.6586
TCGA-V1-A8X3-01,1234.8944,1063.7693,785.8976,213.2413,1139.7238
TCGA-XQ-A8TA-01,599.9378,1724.7174,1713.594,79.2449,1887.771
TCGA-V1-A8WN-01,2330.0922,1106.1291,1028.682,370.6382,898.2101
TCGA-CH-5738-01,1635.9297,914.4973,909.3015,376.3035,910.5082
TCGA-H9-7775-01,3863.7327,1033.7451,656.6255,220.5456,1156.123
TCGA-HC-7079-01,3442.7648,1174.1573,1124.7231,772.4719,690.61
TCGA-KK-A8I9-01,6760.3292,1506.6339,1101.2727,1097.2973,999.0172
TCGA-VN-A88O-01,1871.9531,1196.9192,758.6803,210.1391,1192.7808
TCGA-Y6-A8TL-01,3079.0825,1032.1412,814.2025,239.6258,1173.9852
TCGA-KK-A6E0-01,2756.6923,1201.6907,1505.0049,220.6568,1482.6054
TCGA-EJ-7782-01,2003.8516,875.9644,1241.7864,283.0861,968.546
TCGA-EJ-A65E-01,1299.2819,1184.226,868.5109,170.4532,1001.5303
TCGA-HC-8258-01,1996.2246,1006.8698,1101.807,218.3393,1453.405
TCGA-HC-8261-01,907.6535,1079.8991,1010.2742,299.0749,1302.2708
TCGA-KK-A59X-01,1717.5411,1147.3238,1161.0705,241.1235,1161.6322
TCGA-KK-A59Z-01,4285.2665,1194.6698,1146.5295,345.3071,878.9108
TCGA-KK-A8IF-01,886.9151,1226.1828,996.1115,108.2307,837.3299
TCGA-VN-A88R-01,3117.7801,1202.2361,1033.3354,511.2499,1317.4956
TCGA-XJ-A83G-01,607.3226,1166.7534,753.3854,294.9853,1551.2754
TCGA-CH-5788-01,787.2294,562.0491,1066.3781,119.7691,1123.3766
TCGA-EJ-5505-01,1171.4393,860,935.1071,198.9286,1085.7143
TCGA-EJ-5509-01,2653.2029,850.9728,1109.8268,350.4383,1057.3017
TCGA-EJ-5531-01,2292.8121,856.0375,1156.8397,390.9591,1148.035
TCGA-EJ-7115-01,3764.0157,810.5779,1193.3399,304.4074,961.4104
TCGA-EJ-7123-01,3150.0457,774.0604,926.1606,418.2756,1150.479
TCGA-EJ-7330-01,2264.4009,949.4532,1270.9374,248.9099,865.7599
TCGA-EJ-8468-01,2338.2809,1162.1244,1312.369,195.6674,924.5283
TCGA-EJ-A8FS-01,609.3686,1101.0183,976.6517,247.2505,1133.6049
TCGA-FC-7961-01,3260.9943,1065.4943,1082.0967,320.5952,1033.4799
TCGA-G9-6333-01,2028.5178,925.7036,966.9606,424.015,905.4409
TCGA-G9-7510-01,3627.989,1033.0311,908.465,434.2617,1484.1321
TCGA-HC-7080-01,2438.5046,1159.6917,862.05,214.3629,1419.0017
TCGA-J4-A6G3-01,2727.4652,1173.738,1209.4211,568.6044,997.3408
TCGA-KK-A8IK-01,2153.4986,1628.9694,928.6908,158.2173,1050.6964
TCGA-VP-A878-01,5013.617,1200,1182.7915,518.7234,1022.9787
TCGA-VP-A87B-01,1340.0447,1222.0358,656.387,186.8009,1150.4474
TCGA-VP-A87H-01,1226.8006,1020.6351,1033.1301,352.1029,1144.3344
TCGA-YL-A8HM-01,1253.1869,1193.9494,956.436,235.3916,1426.4401
TCGA-YL-A8S8-01,2084.605,1181.5543,1433.0861,138.45,1259.8087
TCGA-YL-A8SH-01,4831.6808,1232.5581,650.6131,300.74,1148.5201
TCGA-YL-A8SO-01,2511.4347,1401.6,857.888,550.4,1403.2
TCGA-ZG-A8QX-01,2153.8727,1105.0768,709.0074,296.1934,1225.8547
TCGA-ZG-A8QY-01,3811.05,1112.5856,955.7578,399.7894,945.3397
TCGA-EJ-7789-01,1545.8918,958.9262,2056.5635,100.18,624.0024
TCGA-CH-5737-01,2835.5839,854.5237,955.9306,296.1339,1168.5931
TCGA-EJ-5494-01,5419.3926,1099.3007,1063.6324,417.982,1074.1259
TCGA-HC-7210-01,3815.3752,737.6594,1227.7055,296.1618,784.1668
TCGA-HC-8265-01,1866.776,1638.3507,1387.4317,464.9776,856.4332
TCGA-J9-A8CP-01,5046.7202,1096.4514,1071.2182,473.7638,1156.0209
TCGA-KK-A8IB-01,2664.3799,1450.1319,1080.9235,919.2612,1529.2876
TCGA-KK-A8IG-01,4641.2512,1300.9852,1063.4483,336.4532,974.3842
TCGA-YL-A9WI-01,545.0074,1179.0457,965.0467,210.5263,1233.153
TCGA-G9-7523-01,7496.632,1238.6241,1059.0649,491.2218,936.5819
TCGA-CH-5772-01,1871.9051,1286.166,1112.2134,237.1542,950.1976
TCGA-EJ-7125-01,2038.2904,841.5606,943.7649,211.5285,915.6577
TCGA-HC-7075-01,731.5061,957.6098,773.2544,80.8332,1363.9436
TCGA-KK-A8ID-01,851.3352,1058.5891,1653.5871,102.8298,782.3834
TCGA-XA-A8JR-01,1206.2975,1239.9566,654.4843,350.7058,1058.089
TCGA-YJ-A8SW-01,653.2374,907.9137,779.4209,292.0863,1100.7194
TCGA-FC-A4JI-01,284.2414,1147.4896,1071.322,105.0207,913.1276
TCGA-J4-8200-01,1403.125,1162.9882,797.6638,230.8292,1012.67
TCGA-EJ-8470-01,1137.0514,1278.3767,945.9892,266.0114,1081.4838
TCGA-EJ-A46I-01,1580.8993,953.4229,976.4246,391.0299,894.7684
TCGA-G9-6378-01,1295.7913,1081.2092,867.1903,293.4203,1060.4624
TCGA-HC-7737-01,4203.3205,869.3313,963.1168,303.9969,992.6979
TCGA-HC-8256-01,1243.4934,968.0166,944.5886,251.5101,1232.5973
TCGA-HC-A4ZV-01,1180.4158,1207.2072,1627.0617,239.7782,961.192
TCGA-KC-A4BL-01,3689.1574,1199.5745,1242.3745,486.383,927.234
TCGA-KK-A6E5-01,2689.3003,1171.1275,801.3047,289.3748,1531.3696
TCGA-KK-A7AV-01,3658.6691,1242.5039,880.2157,547.0805,1173.5928
TCGA-V1-A8MF-01,3340.7573,1227.8317,878.0129,210.356,1528.1553
TCGA-V1-A8MG-01,2955.5407,1221.6288,1003.2377,295.0601,1030.7076
TCGA-V1-A8ML-01,1560.9258,1054.6762,1142.7748,340.8649,1058.1851
TCGA-V1-A8MU-01,5464.1766,1182.2496,896.2933,539.6298,1062.1737
TCGA-V1-A8WL-01,2252.3317,1233.1731,917.0072,222.9567,1322.7163
TCGA-VP-A87E-01,2508.732,1071.6274,887.6538,402.936,1036.1934
TCGA-YL-A8HO-01,4439.2357,1308.0486,1215.912,374.6381,909.6699
